firm_name,lp_type,contact_name,title,email,phone,city,state,aum_millions,strategy_interest,last_contact_date,email_status
Soros Fund Management,Family Office,nathan murphy,Chief Investment Officer,nathan.murphy@sorosfund.com,2127261018,New York,NY,25000,Hedge Fund; Private Credit; Private Equity,2026-02-14,Unknown
Wilshire Advisors,Consultant,Jason O'Brien,Director of Alternative Investments,@gmail.com,(310) 207-4349,Santa Monica,california,1300000,Hedge Fund; Private Equity,2026-04-18,Active
Pennsylvania Public School Employees Retirement System,Pub. Pension,Liam Patel,Senior Portfolio Strategist,liam.patel@psers.pa.gov,717.210.9464,Harrisburg,PA,73000,Hedge Fund; Private Credit; Real Estate,2025-04-27,
,,,,,,,,,,,
MetLife Investment Management,Insurance Company,Richard Muller,Director of External Managers,richard.muller@metlife.com,(973) 673-1672,Whippany,NJ,585000,Private Credit; Real Estate,2026-02-17,Active
RVK Inc,Consultant,Nathan Weber,Head of Hedge Fund Allocations,nathan.weber@rvkinc.com,5039728354,Portland,OR,265000,Private Equity; Real Estate; Venture Capital,2025-08-01,Active
Lincoln Financial Group,Insurance Company,Thomas Muller,Chief Investment Officer,thomas.muller@lincolnfinancial.com,610-989-9843,Radnor,PA,310000,Hedge Fund; Private Credit; Real Estate,2025-09-17,
University of Virginia Investment Management Company,Endowment,Margaret Watanabe,Chief Investment Officer,margaret.watanabe@uvimco.virginia.edu,4342705002,Charlottesville,VA,14300,Hedge Fund; Venture Capital,2025-05-17,Unknown
Ohio Public Employees Retirement System,Public Pension,Yusuf Rosenberg,Managing Director,jane@@corp.com,6148309817,Columbus,OH,107000,Private Credit; Private Equity; Real Estate,2026-04-07,
Aflac Global Investments,Insurance Company,Alejandro Rodriguez,Chief Investment Officer,alejandro.rodriguez@aflac.com,614.938.8170,Columbus,GA,155000,Private Credit,2025-06-29,Bounced
Aon Hewitt Investment Consulting,Consultant,Raj Jackson,Chief Investment Officer,raj.jackson@aon.com,3129627105,Chicago,IL,340000,Hedge Fund; Private Credit; Private Equity,2026-01-23,Unsubscribed
MIT Investment Management Company,Endowment,Aoife Moore,Chief Investment Officer,,(617) 594-7252,Cambridge,MA,27400,Private Credit; Private Equity,2026-01-17,Unknown
Tiger Global Management,fam office,Lucia Zhang,Director of External Managers,lucia.zhang@tigerglobal.com,2128537086,New York,NY,35000,Hedge Fund,2026-02-06,Active
Ohio Public Employees Retirement System,Public Pension,ibrahim tanaka,Chief Investment Officer,ibrahim.tanaka@opers.org,6142127882,Columbus,OH,107000,Hedge Fund; Private Credit; Venture Capital,2025-04-22,Active
MSD Partners,Family Office,Ibrahim Nakamura,Chief Investment Officer,ibrahim.nakamura@msdpartners.com,212-302-8213,New York,NY,18000,Venture Capital,2026-03-31,Active
Florida State Board of Administration,Public Pension,liam harris,Chief Investment Officer,liam.harris@sbafla.com,,Tallahassee,FL,248000,Hedge Fund; Private Equity; Real Estate,2025-07-11,Unsubscribed
Simons Foundation,Foundation,Christine Johansson,Chief Investment Officer,christine.johansson@simonsfoundation.org,2127067547,New York,NY,5200,Hedge Fund; Real Estate,2025-09-23,Unsubscribed
Oregon Investment Council,Public Pension,Liam King,Chief Investment Officer,liam.king@oregon.gov,503-994-9561,Tigard,OR,100000,Private Equity; Real Estate,2025-11-25,Active
New York Life Investments,Insurance Company,Arjun Fernandez,Senior Portfolio Strategist,arjun.fernandez@newyorklife.com,(212) 570-1298,New York,NY,360000,Private Equity; Venture Capital,2025-12-21,Active
verus investments,Consultant,Keisha Torres,,keisha.torres@verusinvestments.com,206-803-7560,Seattle,WA,300000,Hedge Fund; Private Equity,2026-01-04,Active
Virginia Retirement System,Public Pension,Yuki Hoffman,Head of Private Markets,yuki.hoffman@varetire.org,,Richmond,VA,102000,Real Estate; Venture Capital,2026-03-18,Active
Elliott Mgmt,Family Office,Daniel Moore,Chief Investment Officer,daniel.moore@elliottmgmt.com,(212) 687-8344,New York,New York,65500,,2026-01-24,Active
Icahn Enterprises,Family Office,Isabella Stern,Senior Portfolio Strategist,isabella.stern@ielp.com,212-479-3695,New York,NY,17000,Private Credit; Venture Capital,,Active
University of Pennsylvania Endowment,Endowment,Jessica Ramirez,Chief Investment Officer,jessica.ramirez@upenn.edu,215.763.2604,Philadelphia,PA,20500,Venture Capital,2025-09-27,Unsubscribed
Wilshire Advisors,consultant,Ibrahim Harris,Chief Investment Officer,ibrahim.harris@wilshire.com,310-553-8043,Santa Monica,CA,1300000,Real Estate,2025-11-12,Unknown
Princeton University Investment Company,Endowment,Vikram Weber,Chief Investment Officer,vikram.weber@princo.princeton.edu,609-605-8517,Princeton,NJ,35800,Hedge Fund,2025-06-05,Active
Northwestern University Investment Office,Endwmnt,Kwame Muller,Senior Portfolio Strategist,kwame.muller@northwestern.edu,847-361-1931,Evanston,IL,,Hedge Fund; Private Credit; Real Estate,2026-04-03,Bounced
CALPERS,Public Pension,William Sharma,Senior Investment Analyst,william.sharma@calpers.ca.gov,9164786502,Sacramento,CA,,Hedge Fund; Private Credit,2026-01-20,Active
Emory Investment Management,Endowment,Sarah Taylor,Director of Alternative Investments,sarah.taylor@emoryinvestments.emory.edu,4044342104,Atlanta,GEORGIA,11200,Hedge Fund; Private Equity; Venture Capital,2025-12-22,Active
University of Michigan Endowment,Endowment,Margaux Beaumont,Chief Investment Officer,margaux.beaumont@umich.edu,(734) 684-4981,Ann Arbor,MI,17000,Hedge Fund; Private Equity; Venture Capital,2025-11-20,Unsubscribed
TIGER GLOBAL MANAGEMENT,Family Office,lucia zhang,Director of External Managers,lucia.zhang@tigerglobal.com,(212) 853-7086,New York,NEW YORK,35000,Hedge Fund,2026-02-06,Active
Druckenmiller Family Office,Family Office,Stephanie Rodriguez,Chief Investment Officer,stephanie.rodriguez@duquesne.com,212-379-2293,New York,NY,12000,Private Equity; Real Estate,2025-11-05,Active
